cidade,ano,estado,regiao,taxa_deposito,pib,pib_percapita,saude,saude_percapita,endividamento,idade_media,populacao,spread,id
Isle of Man,7/1/02 0:00,Europe,Independent,,$1.90B,$24.3K,,,,78,"78,246",,536
Faeroe Islands,7/1/02 0:00,Europe,Independent,,$1.27B,$27.0K,,,,79,"46,944",,537
Monaco,7/1/02 0:00,Europe,Independent,,$2.91B,$82.2K,3,$0.0B,,,"35,341",,538
Turkey,7/1/02 0:00,Europe,Independent,50,$232.53B,$3.6K,5,$0.0B,,71,"65,446,165",,539
Russian Federation,7/1/02 0:00,Europe,Independent,5,$345.11B,$2.4K,6,$0.0B,16,65,"145,299,690",11,540
Ukraine,7/1/02 0:00,Europe,Independent,8,$42.39B,$0.9K,6,$0.0B,25,68,"48,202,500",17,541
Croatia,7/1/02 0:00,Europe,Independent,2,$26.52B,$6.0K,6,$0.0B,13,75,"4,440,000",11,542
Albania,7/1/02 0:00,Europe,Independent,9,$4.45B,$1.4K,6,$0.0B,15,75,"3,089,778",6,543
Andorra,7/1/02 0:00,Europe,Independent,,$1.46B,$21.1K,7,$0.0B,,,"69,043",,544
Moldova,7/1/02 0:00,Europe,Independent,14,$1.66B,$0.5K,7,$0.0B,24,67,"3,623,059",10,545
Belarus,7/1/02 0:00,Europe,Independent,27,$14.59B,$1.5K,7,$0.0B,37,68,"9,925,000",10,546
Bosnia and Herzegovina,7/1/02 0:00,Europe,Independent,5,$6.65B,$1.8K,7,$0.0B,13,75,"3,775,883",8,547
Serbia,7/1/02 0:00,Europe,Independent,3,$15.10B,$2.0K,9,$0.0B,20,72,"7,500,031",17,548
"Macedonia, FYR",7/1/02 0:00,Europe,Independent,10,$3.79B,$1.9K,9,$0.0B,18,73,"2,022,255",8,549
Montenegro,7/1/02 0:00,Europe,Independent,,$1.28B,$2.0K,9,$0.0B,,74,"628,594",,550
San Marino,7/1/02 0:00,Europe,Independent,3,$0.88B,$31.1K,9,$0.0B,8,81,"28,251",5,551
Norway,7/1/02 0:00,Europe,Independent,6,$191.93B,$42.3K,10,$0.0B,9,79,"4,538,159",3,552
Iceland,7/1/02 0:00,Europe,Independent,8,$8.91B,$31.0K,10,$0.0B,15,80,"287,523",7,553
Switzerland,7/1/02 0:00,Europe,Independent,0,$278.62B,$38.2K,11,$0.0B,4,80,"7,284,753",4,554
Iraq,7/1/02 0:00,Middle East,,,$18.97B,$0.7K,1,$0.0B,,70,"25,577,836",,555
Oman,7/1/02 0:00,Middle East,,3,$20.05B,$8.7K,3,$0.0B,9,74,"2,302,874",6,556
United Arab Emirates,7/1/02 0:00,Middle East,,,$109.82B,$33.7K,3,$0.0B,,75,"3,254,691",,557
Qatar,7/1/02 0:00,Middle East,,,$19.36B,$31.0K,3,$0.0B,,77,"624,173",,558
Saudi Arabia,7/1/02 0:00,Middle East,,,$188.55B,$8.8K,4,$0.0B,,72,"21,463,072",,559
Bahrain,7/1/02 0:00,Middle East,,1,$8.49B,$13.2K,4,$0.0B,8,74,"642,070",7,560
Kuwait,7/1/02 0:00,Middle East,,3,$38.14B,$18.4K,4,$0.0B,6,74,"2,069,816",3,561
"Yemen, Rep.",7/1/02 0:00,Middle East,,13,$10.69B,$0.6K,5,$0.0B,18,61,"18,831,819",5,562
"Iran, Islamic Rep.",7/1/02 0:00,Middle East,,,$116.42B,$1.7K,5,$0.0B,,70,"67,212,850",,563
Syrian Arab Republic,7/1/02 0:00,Middle East,,4,$21.58B,$1.3K,5,$0.0B,9,74,"16,962,918",5,564
Israel,7/1/02 0:00,Middle East,,6,$112.97B,$17.2K,8,$0.0B,10,79,"6,570,000",4,565
Lebanon,7/1/02 0:00,Middle East,,11,$19.15B,$5.0K,9,$0.0B,17,71,"3,868,504",6,566
Jordan,7/1/02 0:00,Middle East,,4,$9.58B,$1.9K,10,$0.0B,10,72,"5,038,000",6,567
American Samoa,7/1/02 0:00,Oceania,,,,,,,,,"59,687",,568
French Polynesia,7/1/02 0:00,Oceania,,,,,,,,73,"245,000",,569
Guam,7/1/02 0:00,Oceania,,,,,,,,75,"160,292",,570
New Caledonia,7/1/02 0:00,Oceania,,,,,,,,75,"221,490",,571
Papua New Guinea,7/1/02 0:00,Oceania,,3,$3.00B,$0.5K,4,$0.0B,14,59,"5,659,946",11,572
Vanuatu,7/1/02 0:00,Oceania,,1,$0.26B,$1.3K,4,$0.0B,7,68,"194,555",6,573
Fiji,7/1/02 0:00,Oceania,,2,$1.84B,$2.3K,4,$0.0B,8,68,"816,336",6,574
Solomon Islands,7/1/02 0:00,Oceania,,1,$0.34B,$0.8K,5,$0.0B,15,64,"432,107",14,575
Samoa,7/1/02 0:00,Oceania,,5,$0.26B,$1.4K,5,$0.0B,11,70,"178,488",6,576
Tonga,7/1/02 0:00,Oceania,,5,$0.18B,$1.8K,6,$0.0B,11,71,"99,053",6,577
"Micronesia, Fed. Sts.",7/1/02 0:00,Oceania,,1,$0.24B,$2.2K,8,$0.0B,15,67,"107,728",14,578
New Zealand,7/1/02 0:00,Oceania,,5,$65.46B,$16.6K,8,$0.0B,7,79,"3,948,500",2,579
Australia,7/1/02 0:00,Oceania,,4,$397.15B,$20.2K,8,$0.0B,8,80,"19,651,400",4,580
Kiribati,7/1/02 0:00,Oceania,,,$0.07B,$0.9K,9,$0.0B,,63,"87,147",,581
Marshall Islands,7/1/02 0:00,Oceania,,,$0.12B,$2.4K,16,$0.0B,,,"52,066",,582
Cayman Islands,7/1/02 0:00,The Americas,Caribbean,,,,,,,,"45,117",,583
Curacao,7/1/02 0:00,The Americas,Caribbean,,,,,,,,"128,182",,584
Sint Maarten (Dutch part),7/1/02 0:00,The Americas,Caribbean,,,,,,,,"32,566",,585
St. Martin (French part),7/1/02 0:00,The Americas,Caribbean,,,,,,,,"27,450",,586
Turks and Caicos Islands,7/1/02 0:00,The Americas,Caribbean,,,,,,,,"23,044",,587
Aruba,7/1/02 0:00,The Americas,Caribbean,6,$1.91B,$20.2K,,,13,74,"94,596",7,588
Puerto Rico,7/1/02 0:00,The Americas,Caribbean,,$71.62B,$18.7K,,,,78,"3,823,701",,589
Virgin Islands (U.S.),7/1/02 0:00,The Americas,Caribbean,,,,,,,78,"108,923",,590
Haiti,7/1/02 0:00,The Americas,Caribbean,9,$3.21B,$0.4K,5,$0.0B,34,59,"8,935,252",25,591
Trinidad and Tobago,7/1/02 0:00,The Americas,Caribbean,5,$9.01B,$6.9K,5,$0.0B,12,68,"1,301,576",7,592
Jamaica,7/1/02 0:00,The Americas,Caribbean,9,$9.68B,$3.7K,5,$0.0B,19,71,"2,617,495",10,593
Antigua and Barbuda,7/1/02 0:00,The Americas,Caribbean,4,$0.82B,$10.2K,5,$0.0B,11,75,"80,507",7,594
St. Kitts and Nevis,7/1/02 0:00,The Americas,Caribbean,4,$0.43B,$9.3K,6,$0.0B,11,71,"46,710",7,595
St. Vincent and the Grenadines,7/1/02 0:00,The Americas,Caribbean,4,$0.46B,$4.3K,6,$0.0B,12,71,"108,150",8,596
Dominican Republic,7/1/02 0:00,The Americas,Caribbean,17,$26.57B,$3.0K,6,$0.0B,26,71,"8,860,760",9,597
"Bahamas, The",7/1/02 0:00,The Americas,Caribbean,4,$6.96B,$22.8K,6,$0.0B,6,72,"305,801",2,598
St. Lucia,7/1/02 0:00,The Americas,Caribbean,4,$0.70B,$4.4K,6,$0.0B,13,74,"159,133",9,599
Cuba,7/1/02 0:00,The Americas,Caribbean,,$33.59B,$3.0K,6,$0.0B,,77,"11,175,434",,600
Dominica,7/1/02 0:00,The Americas,Caribbean,4,$0.33B,$4.8K,6,$0.0B,11,77,"69,301",7,601
Grenada,7/1/02 0:00,The Americas,Caribbean,4,$0.54B,$5.3K,7,$0.0B,11,74,"101,954",7,602
Barbados,7/1/02 0:00,The Americas,Caribbean,3,$2.48B,$9.2K,7,$0.0B,9,76,"268,813",6,603
Belize,7/1/02 0:00,The Americas,Central America,6,$0.93B,$3.5K,4,$0.0B,15,74,"265,200",9,604
Guatemala,7/1/02 0:00,The Americas,Central America,7,$20.78B,$1.8K,6,$0.0B,17,69,"11,800,351",10,605
Honduras,7/1/02 0:00,The Americas,Central America,14,$7.78B,$1.2K,6,$0.0B,23,71,"6,477,525",9,606
Mexico,7/1/02 0:00,The Americas,Central America,4,$649.08B,$6.3K,6,$0.0B,8,75,"102,634,153",4,607
Nicaragua,7/1/02 0:00,The Americas,Central America,8,$4.03B,$0.8K,7,$0.0B,18,71,"5,219,724",10,608
El Salvador,7/1/02 0:00,The Americas,Central America,,$14.31B,$2.4K,8,$0.0B,,70,"5,988,233",,609
Panama,7/1/02 0:00,The Americas,Central America,5,$12.27B,$4.0K,8,$0.0B,11,75,"3,069,123",6,610
Costa Rica,7/1/02 0:00,The Americas,Central America,11,$16.84B,$4.1K,8,$0.0B,26,78,"4,083,197",15,611
Bermuda,7/1/02 0:00,The Americas,North America,,$3.94B,$62.7K,,,,,"62,800",,612
Greenland,7/1/02 0:00,The Americas,North America,,$1.17B,$20.7K,,,,69,"56,609",,613
Canada,7/1/02 0:00,The Americas,North America,1,$734.66B,$23.4K,10,$0.0B,4,80,"31,362,000",3,614
United States,7/1/02 0:00,The Americas,North America,,"$10,590.20B",$36.8K,15,$0.0B,5,77,"287,625,193",,615
Peru,7/1/02 0:00,The Americas,South America,4,$56.77B,$2.1K,5,$0.0B,21,71,"26,579,252",17,616
Ecuador,7/1/02 0:00,The Americas,South America,6,$24.72B,$1.9K,5,$0.0B,16,74,"12,767,415",10,617
Guyana,7/1/02 0:00,The Americas,South America,5,$0.72B,$1.0K,6,$0.0B,16,66,"738,011",11,618
"Venezuela, RB",7/1/02 0:00,The Americas,South America,29,$92.89B,$3.7K,6,$0.0B,37,74,"25,220,000",8,619
Bolivia,7/1/02 0:00,The Americas,South America,10,$7.91B,$0.9K,7,$0.0B,21,64,"8,646,659",11,620
Suriname,7/1/02 0:00,The Americas,South America,9,$1.08B,$2.2K,7,$0.0B,22,68,"480,132",13,621
Brazil,7/1/02 0:00,The Americas,South America,19,$504.22B,$2.8K,7,$0.0B,63,71,"179,289,227",44,622
Colombia,7/1/02 0:00,The Americas,South America,9,$98.23B,$2.4K,7,$0.0B,16,72,"41,078,136",7,623
Chile,7/1/02 0:00,The Americas,South America,4,$67.27B,$4.3K,7,$0.0B,8,78,"15,783,991",4,624
Argentina,7/1/02 0:00,The Americas,South America,39,$102.04B,$2.7K,8,$0.0B,52,74,"37,657,340",13,625
Paraguay,7/1/02 0:00,The Americas,South America,23,$5.05B,$0.9K,9,$0.0B,39,71,"5,564,709",16,626
Uruguay,7/1/02 0:00,The Americas,South America,63,$13.61B,$4.1K,11,$0.0B,118,75,"3,308,527",55,627
Zimbabwe,7/1/03 0:00,Centro Oeste,Brasilia,36,$5.73B,$0.5K,,,97,43,"12,612,956",61,628
Somalia,7/1/03 0:00,Centro Oeste,Brasilia,,,,,,,49,"7,981,955",,629
Comoros,7/1/03 0:00,Centro Oeste,Brasilia,4,$0.32B,$0.5K,3,$0.0B,12,59,"609,271",8,630
Tanzania,7/1/03 0:00,Centro Oeste,Brasilia,3,$11.66B,$0.3K,4,$0.0B,15,52,"36,788,281",12,631
Kenya,7/1/03 0:00,Centro Oeste,Brasilia,4,$14.90B,$0.4K,4,$0.0B,17,52,"33,805,301",13,632
Eritrea,7/1/03 0:00,Centro Oeste,Brasilia,,$0.87B,$0.2K,4,$0.0B,,58,"4,145,500",,633
Madagascar,7/1/03 0:00,Centro Oeste,Brasilia,12,$5.47B,$0.3K,4,$0.0B,24,62,"16,842,482",12,634
Mauritius,7/1/03 0:00,Centro Oeste,Brasilia,10,$5.61B,$4.6K,4,$0.0B,21,72,"1,222,811",11,635
Ethiopia,7/1/03 0:00,Centro Oeste,Brasilia,3,$8.56B,$0.1K,5,$0.0B,7,54,"70,784,012",4,636
Seychelles,7/1/03 0:00,Centro Oeste,Brasilia,4,$0.71B,$8.5K,5,$0.0B,11,71,"82,800",7,637
Malawi,7/1/03 0:00,Centro Oeste,Brasilia,25,$2.42B,$0.2K,6,$0.0B,49,47,"12,144,945",24,638
Mozambique,7/1/03 0:00,Centro Oeste,Brasilia,12,$4.67B,$0.2K,6,$0.0B,25,48,"19,721,009",13,639
Rwanda,7/1/03 0:00,Centro Oeste,Brasilia,9,$1.85B,$0.2K,6,$0.0B,17,50,"8,857,859",8,640
Djibouti,7/1/03 0:00,Centro Oeste,Brasilia,1,$0.62B,$0.8K,6,$0.0B,11,55,"779,640",10,641
Zambia,7/1/03 0:00,Centro Oeste,Brasilia,22,$4.37B,$0.4K,7,$0.0B,41,43,"10,938,261",19,642
Uganda,7/1/03 0:00,Centro Oeste,Brasilia,10,$6.34B,$0.2K,7,$0.0B,19,48,"26,641,627",9,643
Burundi,7/1/03 0:00,Centro Oeste,Brasilia,,$0.76B,$0.1K,8,$0.0B,18,47,"6,838,764",,644
Equatorial Guinea,7/1/03 0:00,Centro Oeste,Middle Centro Oeste,5,$2.95B,$5.2K,2,$0.0B,18,49,"571,999",13,645
Angola,7/1/03 0:00,Centro Oeste,Middle Centro Oeste,26,$13.96B,$0.9K,3,$0.0B,96,47,"15,419,943",70,646
"Congo, Rep.",7/1/03 0:00,Centro Oeste,Middle Centro Oeste,5,$3.50B,$1.0K,3,$0.0B,18,55,"3,365,171",13,647
Gabon,7/1/03 0:00,Centro Oeste,Middle Centro Oeste,5,$6.05B,$4.6K,3,$0.0B,,59,"1,317,484",,648
Central Centro Oesten Republic,7/1/03 0:00,Centro Oeste,Middle Centro Oeste,5,$1.14B,$0.3K,4,$0.0B,18,44,"3,890,075",13,649
"Congo, Dem. Rep.",7/1/03 0:00,Centro Oeste,Middle Centro Oeste,,$5.67B,$0.1K,5,$0.0B,,47,"54,098,245",,650
Cameroon,7/1/03 0:00,Centro Oeste,Middle Centro Oeste,5,$13.62B,$0.8K,5,$0.0B,18,49,"16,783,366",13,651
Chad,7/1/03 0:00,Centro Oeste,Middle Centro Oeste,5,$2.74B,$0.3K,6,$0.0B,18,48,"9,153,893",13,652
Sao Tome and Principe,7/1/03 0:00,Centro Oeste,Middle Centro Oeste,9,$0.10B,$0.7K,14,$0.0B,30,63,"148,038",21,653
South Sudan,7/1/03 0:00,Centro Oeste,Northern Centro Oeste,,,,,,,,"7,198,267",,654
Sudan,7/1/03 0:00,Centro Oeste,Northern Centro Oeste,,$17.78B,$0.5K,4,$0.0B,,59,"29,445,166",,655
Algeria,7/1/03 0:00,Centro Oeste,Northern Centro Oeste,5,$68.02B,$2.1K,4,$0.0B,8,71,"31,913,462",3,656
Libya,7/1/03 0:00,Centro Oeste,Northern Centro Oeste,3,$24.06B,$4.3K,4,$0.0B,7,73,"5,541,062",4,657
Morocco,7/1/03 0:00,Centro Oeste,Northern Centro Oeste,4,$49.82B,$1.7K,5,$0.0B,13,70,"29,770,316",9,658
"Egypt, Arab Rep.",7/1/03 0:00,Centro Oeste,Northern Centro Oeste,8,$82.92B,$1.2K,6,$0.0B,14,71,"71,498,433",6,659
Tunisia,7/1/03 0:00,Centro Oeste,Northern Centro Oeste,,$27.45B,$2.8K,6,$0.0B,,73,"9,839,800",,660
Swaziland,7/1/03 0:00,Centro Oeste,Southern Centro Oeste,8,$1.85B,$1.8K,5,$0.0B,15,46,"1,014,765",7,661
Botswana,7/1/03 0:00,Centro Oeste,Southern Centro Oeste,10,$8.09B,$4.4K,6,$0.0B,16,49,"1,830,127",6,662
Lesotho,7/1/03 0:00,Centro Oeste,Southern Centro Oeste,5,$0.95B,$0.5K,7,$0.0B,16,44,"2,028,976",11,663
Namibia,7/1/03 0:00,Centro Oeste,Southern Centro Oeste,9,$4.93B,$2.5K,7,$0.0B,15,57,"2,008,342",6,664
South Centro Oeste,7/1/03 0:00,Centro Oeste,Southern Centro Oeste,10,$168.22B,$3.6K,9,$0.0B,15,52,"46,116,494",5,665
Mauritania,7/1/03 0:00,Centro Oeste,Western Centro Oeste,8,$1.56B,$0.5K,3,$0.0B,21,57,"2,882,003",13,666
Niger,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$2.73B,$0.2K,4,$0.0B,,50,"12,118,322",,667
Cote d'Ivoire,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$13.74B,$0.8K,4,$0.0B,,51,"17,455,501",,668
Guinea,7/1/03 0:00,Centro Oeste,Western Centro Oeste,7,$3.45B,$0.4K,5,$0.0B,,50,"8,743,954",,669
Benin,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$3.56B,$0.5K,5,$0.0B,,53,"7,164,976",,670
Senegal,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$6.86B,$0.7K,5,$0.0B,,57,"10,297,956",,671
Cape Verde,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$0.81B,$1.8K,5,$0.0B,13,71,"460,031",9,672
Mali,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$4.36B,$0.4K,6,$0.0B,,48,"12,380,104",,673
Burkina Faso,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$4.27B,$0.3K,6,$0.0B,,51,"13,395,599",,674
Togo,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$1.67B,$0.3K,6,$0.0B,,55,"5,170,252",,675
"Gambia, The",7/1/03 0:00,Centro Oeste,Western Centro Oeste,16,$0.51B,$0.4K,6,$0.0B,29,56,"1,417,818",13,676
Guinea-Bissau,7/1/03 0:00,Centro Oeste,Western Centro Oeste,4,$0.48B,$0.4K,7,$0.0B,,46,"1,314,795",,677
Ghana,7/1/03 0:00,Centro Oeste,Western Centro Oeste,14,$7.62B,$0.4K,7,$0.0B,,60,"20,610,897",,678
Sierra Leone,7/1/03 0:00,Centro Oeste,Western Centro Oeste,8,$0.99B,$0.2K,8,$0.0B,20,42,"4,730,020",12,679
Nigeria,7/1/03 0:00,Centro Oeste,Western Centro Oeste,14,$67.66B,$0.5K,8,$0.0B,21,48,"133,067,097",7,680
Liberia,7/1/03 0:00,Centro Oeste,Western Centro Oeste,5,$0.41B,$0.1K,9,$0.0B,17,50,"3,037,412",12,681
"Korea, Dem. Rep.",7/1/03 0:00,Asia,,,,,,,,67,"23,436,550",,682
"Macao SAR, China",7/1/03 0:00,Asia,,0,$7.93B,$17.3K,,,6,79,"459,456",6,683
"Hong Kong SAR, China",7/1/03 0:00,Asia,,0,$158.57B,$23.6K,,,5,81,"6,730,800",5,684
Myanmar,7/1/03 0:00,Asia,,10,,,2,$0.0B,15,62,"45,843,675",5,685
Pakistan,7/1/03 0:00,Asia,,,$83.24B,$0.5K,3,$0.0B,,64,"153,139,895",,686
Bangladesh,7/1/03 0:00,Asia,,8,$51.91B,$0.4K,3,$0.0B,16,66,"136,514,768",8,687
Philippines,7/1/03 0:00,Asia,,5,$83.91B,$1.0K,3,$0.0B,9,67,"82,293,990",4,688
Indonesia,7/1/03 0:00,Asia,,11,$234.77B,$1.1K,3,$0.0B,17,67,"221,839,235",6,689
Brunei Darussalam,7/1/03 0:00,Asia,,,$6.56B,$18.8K,3,$0.0B,6,77,"348,771",,690
Turkmenistan,7/1/03 0:00,Asia,,,$5.98B,$1.3K,4,$0.0B,,64,"4,647,912",,691
Tajikistan,7/1/03 0:00,Asia,,10,$1.55B,$0.2K,4,$0.0B,17,65,"6,336,724",7,692
Kazakhstan,7/1/03 0:00,Asia,,,$30.83B,$2.1K,4,$0.0B,,66,"14,909,019",,693
Thailand,7/1/03 0:00,Asia,,1,$142.64B,$2.2K,4,$0.0B,6,73,"65,370,277",5,694
Sri Lanka,7/1/03 0:00,Asia,,6,$18.88B,$1.0K,4,$0.0B,10,73,"19,173,000",4,695
Singapore,7/1/03 0:00,Asia,,1,$93.36B,$22.7K,4,$0.0B,5,79,"4,114,800",4,696
India,7/1/03 0:00,Asia,,,$617.57B,$0.6K,5,$0.0B,11,63,"1,105,885,689",,697
Lao PDR,7/1/03 0:00,Asia,,7,$2.02B,$0.4K,5,$0.0B,31,63,"5,582,028",24,698
Nepal,7/1/03 0:00,Asia,,,$6.33B,$0.2K,5,$0.0B,7,64,"26,143,530",,699
Bhutan,7/1/03 0:00,Asia,,5,$0.61B,$1.0K,5,$0.0B,15,64,"624,431",10,700
Mongolia,7/1/03 0:00,Asia,,14,$1.60B,$0.6K,5,$0.0B,32,65,"2,485,177",18,701
Uzbekistan,7/1/03 0:00,Asia,,,$10.13B,$0.4K,5,$0.0B,,67,"25,567,700",,702
Kyrgyz Republic,7/1/03 0:00,Asia,,5,$1.92B,$0.4K,5,$0.0B,19,68,"5,043,300",14,703
China,7/1/03 0:00,Asia,,2,"$1,640.96B",$1.3K,5,$0.0B,5,72,"1,288,400,000",3,704
Malaysia,7/1/03 0:00,Asia,,3,$110.20B,$4.4K,5,$0.0B,6,73,"25,060,184",3,705
Vietnam,7/1/03 0:00,Asia,,7,$39.55B,$0.5K,5,$0.0B,9,73,"80,468,400",2,706
"Korea, Rep.",7/1/03 0:00,Asia,,4,$643.76B,$13.5K,5,$0.0B,6,77,"47,859,000",2,707
Armenia,7/1/03 0:00,Asia,,7,$2.81B,$0.9K,6,$0.0B,21,72,"3,060,554",14,708
Cambodia,7/1/03 0:00,Asia,,2,$4.66B,$0.4K,7,$0.0B,,59,"13,024,171",,709
Azerbaijan,7/1/03 0:00,Asia,,10,$7.28B,$0.9K,7,$0.0B,15,68,"8,234,100",5,710
Afghanistan,7/1/03 0:00,Asia,,,$4.77B,$0.2K,8,$0.0B,,46,"28,255,719",,711
Georgia,7/1/03 0:00,Asia,,9,$3.99B,$0.9K,8,$0.0B,32,72,"4,328,900",23,712
Maldives,7/1/03 0:00,Asia,,8,$0.93B,$3.3K,8,$0.0B,14,73,"286,665",6,713
Japan,7/1/03 0:00,Asia,,0,"$4,302.94B",$33.7K,8,$0.0B,2,82,"127,718,000",2,714
Timor-Leste,7/1/03 0:00,Asia,,1,$0.30B,$0.3K,10,$0.0B,17,58,"931,324",16,715
Estonia,7/1/03 0:00,Europe,European Union,2,$9.84B,$7.3K,5,$0.0B,6,71,"1,353,557",4,716
Romania,7/1/03 0:00,Europe,European Union,11,$59.51B,$2.7K,5,$0.0B,25,71,"21,742,013",14,717
Latvia,7/1/03 0:00,Europe,European Union,3,$11.19B,$4.8K,6,$0.0B,5,71,"2,325,342",2,718
Poland,7/1/03 0:00,Europe,European Union,4,$216.80B,$5.7K,6,$0.0B,7,75,"38,204,570",3,719
Lithuania,7/1/03 0:00,Europe,European Union,1,$18.61B,$5.4K,7,$0.0B,6,72,"3,454,205",5,720
Bulgaria,7/1/03 0:00,Europe,European Union,3,$20.67B,$2.6K,7,$0.0B,9,72,"7,823,557",6,721
Czech Republic,7/1/03 0:00,Europe,European Union,1,$95.29B,$9.3K,7,$0.0B,6,75,"10,207,362",5,722
Ireland,7/1/03 0:00,Europe,European Union,0,$159.12B,$39.8K,7,$0.0B,3,78,"3,996,521",3,723
Cyprus,7/1/03 0:00,Europe,European Union,4,$13.32B,$18.4K,7,$0.0B,7,78,"998,134",3,724
Hungary,7/1/03 0:00,Europe,European Union,11,$83.54B,$8.2K,8,$0.0B,10,72,"10,129,552",-1,725
Slovak Republic,7/1/03 0:00,Europe,European Union,5,$45.84B,$8.5K,8,$0.0B,8,74,"5,379,607",3,726
Finland,7/1/03 0:00,Europe,European Union,,$164.26B,$31.5K,8,$0.0B,4,78,"5,213,014",,727
United Kingdom,7/1/03 0:00,Europe,European Union,,"$1,860.31B",$31.2K,8,$0.0B,4,78,"59,566,259",,728
Malta,7/1/03 0:00,Europe,European Union,3,$5.12B,$12.8K,8,$0.0B,6,78,"398,582",3,729
Luxembourg,7/1/03 0:00,Europe,European Union,,$29.16B,$64.6K,8,$0.0B,,79,"451,630",,730
Spain,7/1/03 0:00,Europe,European Union,,$883.84B,$21.0K,8,$0.0B,,80,"42,004,522",,731
Italy,7/1/03 0:00,Europe,European Union,1,"$1,514.50B",$26.3K,8,$0.0B,6,80,"57,604,658",5,732
Denmark,7/1/03 0:00,Europe,European Union,2,$212.62B,$39.4K,9,$0.0B,,77,"5,390,574",,733
Slovenia,7/1/03 0:00,Europe,European Union,6,$29.15B,$14.6K,9,$0.0B,11,77,"1,995,733",5,734
Greece,7/1/03 0:00,Europe,European Union,2,$192.85B,$17.5K,9,$0.0B,7,79,"11,023,514",5,735
Sweden,7/1/03 0:00,Europe,European Union,2,$314.71B,$35.1K,9,$0.0B,5,80,"8,958,229",3,736
Portugal,7/1/03 0:00,Europe,European Union,,$161.93B,$15.5K,10,$0.0B,,77,"10,441,075",,737
Netherlands,7/1/03 0:00,Europe,European Union,2,$538.31B,$33.2K,10,$0.0B,3,78,"16,225,302",1,738
Austria,7/1/03 0:00,Europe,European Union,,$253.95B,$31.3K,10,$0.0B,,79,"8,121,423",,739
Belgium,7/1/03 0:00,Europe,European Union,2,$311.69B,$30.0K,10,$0.0B,7,79,"10,376,133",5,740
Germany,7/1/03 0:00,Europe,European Union,,"$2,423.81B",$29.4K,11,$0.0B,,78,"82,534,176",,741
France,7/1/03 0:00,Europe,European Union,3,"$1,792.21B",$28.8K,11,$0.0B,7,79,"62,242,266",4,742
Isle of Man,7/1/03 0:00,Europe,Independent,,$2.26B,$28.7K,,,,,"78,840",,743
Liechtenstein,7/1/03 0:00,Europe,Independent,,$3.07B,$90.3K,,,,,"34,006",,744
Kosovo,7/1/03 0:00,Europe,Independent,,$3.36B,$2.0K,,,,68,"1,703,466",,745
Faeroe Islands,7/1/03 0:00,Europe,Independent,,$1.49B,$31.3K,,,,79,"47,472",,746
Monaco,7/1/03 0:00,Europe,Independent,,$3.59B,$101.6K,4,$0.0B,,,"35,323",,747
Turkey,7/1/03 0:00,Europe,Independent,38,$303.01B,$4.6K,5,$0.0B,,71,"66,339,433",,748
Russian Federation,7/1/03 0:00,Europe,Independent,4,$430.35B,$3.0K,6,$0.0B,13,65,"144,599,447",9,749
Croatia,7/1/03 0:00,Europe,Independent,2,$34.14B,$7.7K,6,$0.0B,12,75,"4,440,000",10,750
Albania,7/1/03 0:00,Europe,Independent,8,$5.65B,$1.8K,6,$0.0B,14,76,"3,106,701",6,751
Andorra,7/1/03 0:00,Europe,Independent,,$1.92B,$26.6K,7,$0.0B,,,"72,203",,752
Ukraine,7/1/03 0:00,Europe,Independent,7,$50.13B,$1.0K,7,$0.0B,18,68,"47,812,950",11,753
Belarus,7/1/03 0:00,Europe,Independent,17,$17.83B,$1.8K,7,$0.0B,24,69,"9,873,968",7,754
San Marino,7/1/03 0:00,Europe,Independent,2,$1.12B,$38.7K,7,$0.0B,7,81,"29,013",5,755
Moldova,7/1/03 0:00,Europe,Independent,13,$1.98B,$0.5K,8,$0.0B,19,67,"3,612,869",6,756
Bosnia and Herzegovina,7/1/03 0:00,Europe,Independent,4,$8.37B,$2.2K,8,$0.0B,11,75,"3,782,717",7,757
Serbia,7/1/03 0:00,Europe,Independent,3,$19.55B,$2.6K,9,$0.0B,15,72,"7,480,591",12,758
"Macedonia, FYR",7/1/03 0:00,Europe,Independent,8,$4.76B,$2.3K,9,$0.0B,16,73,"2,027,819",8,759
Montenegro,7/1/03 0:00,Europe,Independent,,$1.71B,$2.7K,10,$0.0B,,74,"627,500",,760
Norway,7/1/03 0:00,Europe,Independent,2,$224.88B,$49.3K,10,$0.0B,5,79,"4,564,855",3,761
Switzerland,7/1/03 0:00,Europe,Independent,0,$325.04B,$44.3K,11,$0.0B,3,81,"7,339,001",3,762
Iceland,7/1/03 0:00,Europe,Independent,5,$10.97B,$37.9K,11,$0.0B,12,81,"289,521",7,763
Iraq,7/1/03 0:00,Middle East,,,,,3,$0.0B,,70,"26,234,373",,764
Kuwait,7/1/03 0:00,Middle East,,2,$47.88B,$22.5K,3,$0.0B,5,74,"2,126,786",3,765
